posID,gameID,screens,passes,type,result,contested,game_clock,quarter,shot_clock,xcoord,ycoord,def_xcoord,def_ycoord,distance,shooter
55,20171028,0,1,fb,miss,high,,0,20,289,80,0,0,0,NULL
55,20171103,3,4,hq,make,med,,0,8,477,151,0,0,0,6
56,20170925,0,8,hq,miss,med,,0,12,16,52,53,56,37.2156,5
56,20171007,0,4,hq,miss,low,,0,12,16,44,0,0,0,NULL
56,20171028,0,2,hq,miss,high,,0,15,277,77,0,0,0,NULL
56,20171103,0,2,fb,miss,low,,0,19,281,73,0,0,0,22
57,20170925,0,0,fb,to,NULL,,0,22,0,0,0,0,0,NULL
57,20171007,0,4,hq,oreb,high,,0,12,454,213,0,0,0,NULL
57,20171028,1,2,hq,make,high,,0,13,264,91,0,0,0,NULL
57,20171103,0,1,fb,make,low,,0,19,229,80,0,0,0,10
58,20170925,0,1,hq,foul,med,,0,16,337,104,293,78,51.1077,NULL
58,20171007,0,2,hq,make,high,,0,17,444,217,0,0,0,NULL
58,20171028,1,0,hq,miss,high,,0,15,280,88,0,0,0,NULL
58,20171103,2,1,hq,miss,low,,0,16,141,281,0,0,0,10
59,20170925,0,2,hq,foul,med,,0,14,467,171,439,139,42.5206,NULL
59,20171007,0,3,hq,oreb,NULL,,0,19,224,70,0,0,0,NULL
59,20171028,0,2,fb,miss,high,,0,20,436,227,0,0,0,NULL
59,20171103,0,1,fb,make,med,,0,22,276,66,0,0,0,9
60,20170925,4,3,hq,to,NULL,,0,12,0,0,0,0,0,NULL
60,20171007,1,3,hq,make,med,,0,16,429,237,0,0,0,NULL
60,20171028,0,2,fb,to,NULL,,0,21,0,0,0,0,0,NULL
60,20171103,0,1,fb,miss,low,,0,22,277,70,0,0,0,10
61,20170925,0,2,hq,to,NULL,,0,18,0,0,0,0,0,NULL
61,20171007,1,0,hq,miss,high,,0,16,267,71,0,0,0,NULL
61,20171028,0,1,hq,miss,med,,0,12,32,177,0,0,0,NULL
61,20171103,1,4,hq,make,high,,0,12,235,81,0,0,0,9
62,20170925,0,5,hq,to,NULL,,0,10,0,0,0,0,0,NULL
62,20171007,0,1,hq,to,NULL,,0,15,0,0,0,0,0,NULL
62,20171028,0,4,hq,foul,high,,0,4,217,97,0,0,0,NULL
62,20171103,0,1,fb,to,NULL,,0,23,0,0,0,0,0,NULL
63,20170925,0,3,hq,make,low,,0,16,151,286,182,184,106.607,9
63,20171007,6,1,hq,make,low,,0,16,269,77,0,0,0,NULL
63,20171028,1,2,hq,miss,med,,0,4,332,295,0,0,0,NULL
63,20171103,0,6,hq,to,NULL,,0,15,0,0,0,0,0,NULL
64,20170925,0,3,hq,foul,high,,0,17,225,74,232,58,17.4642,NULL
64,20171007,0,2,hq,make,med,,0,16,438,220,0,0,0,NULL
64,20171028,1,2,hq,miss,high,,0,15,228,81,0,0,0,NULL
64,20171103,0,1,fb,make,low,,0,20,222,69,0,0,0,8
65,20170925,0,3,hq,miss,med,,0,13,235,89,240,70,19.6469,9
65,20171007,0,2,fb,make,low,,0,20,272,74,0,0,0,NULL
65,20171028,0,2,hq,miss,low,,0,10,320,291,0,0,0,NULL
65,20171103,0,1,fb,miss,high,,0,21,221,75,0,0,0,20
66,20170925,0,4,hq,miss,high,,0,17,242,93,246,76,17.4642,NULL
66,20171007,0,2,hq,oreb,low,,0,14,178,297,0,0,0,NULL
66,20171028,0,1,hq,to,NULL,,0,15,0,0,0,0,0,NULL
66,20171103,0,2,hq,miss,low,,0,0,476,77,0,0,0,NULL
67,20170925,0,5,hq,miss,low,,0,15,426,241,356,161,106.301,6
67,20171007,0,0,hq,make,med,,0,8,271,75,0,0,0,NULL
67,20171028,0,1,hq,make,low,,0,17,280,78,0,0,0,NULL
67,20171103,1,5,hq,foul,NULL,,0,12,0,0,0,0,0,NULL
68,20170925,0,2,hq,miss,low,,0,4,144,279,166,204,78.1601,5
68,20171007,0,0,fb,make,low,,0,22,273,81,0,0,0,NULL
68,20171028,1,2,hq,to,NULL,,0,9,0,0,0,0,0,NULL
